1024665;1391243;2092852;1974507;2446248;2682945;2600800;2726863
445558;658520;1284805;1589066;1898844;1861582;2122062;2223179
265535;443841;821327;1222957;1476877;1657076;1879767;2000712
225358;309484;591347;918911;1411791;1545195;1619956;1830394
130890;233732;405793;815170;1014814;1221458;1427207;1688489
50;105;227;523;884;1912;3510;6160
3;9;18;27;63;146;292;572
0;1;2;3;8;14;43;49
